Title of the book,Author/s,Book_type,Original Price(RRP),Discount Price,ISBN-10,Published Date,Publisher,No of pages
Safe Haven,Nicholas Sparks,ePUB,11.99,11.99,9780748122660,2010-09-02,"Little, Brown Book Group",320
The Bhagavad Gita,Laurie L. Patton,ePUB,14.99,14.99,9780141396217,2014-05-01,Penguin Books Ltd,288
My Mother's Secret,J.L. Witterick,ePUB,23.99,19.99,9780698151529,2013-09-05,Penguin Publishing Group,208
The Language Instinct,Steven Pinker,ePUB,16.99,16.99,9780141929682,2003-02-27,Penguin Books Ltd,496
Ancillary Sword,Ann Leckie,ePUB,11.99,11.99,9781405525855,2014-10-07,"Little, Brown Book Group",384
The Spy and the Traitor,Ben Macintyre,Hardcover,43.75,43.75,9781101904190,2018-09-18,Crown Publishing Group (NY),368
Harriet Tubman,Catherine Clinton,ePUB,21.99,21.99,9780759509771,2004-02-02,"Little, Brown and Company",300
The Art of Statistics,David Spiegelhalter,ePUB,15.99,15.99,9780241258750,2019-03-28,Penguin Books Ltd,256
Healing Back Pain,John E. Sarno,ePUB,12.99,12.99,9780759520844,2001-03-15,Grand Central Publishing,300
Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,32.63,32.63,9780768448887,2019-05-01,SOUND WISDOM,224
The Lollipop Shoes (Chocolat 2),Joanne Harris,ePUB,15.99,15.99,9781407039657,2010-07-06,Transworld,592
A Walk In The Park,Jill Mansell,ePUB,12.99,12.99,9780755355976,2012-02-16,Headline,362
Liar Liar,M. J. Arlidge,ePUB,15.99,15.99,9781405919227,2015-09-10,Penguin Books Ltd,314
The Sleep Of Reason,C.P. Snow,PDF,14.9,14.9,9780755118519,2010-01-16,None,452
A Clockwork Orange,Anthony Burgess,ePUB,15.99,15.99,9780141908328,2011-08-04,Penguin Books Ltd,176
The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,ePUB,15.99,15.99,9780753553176,2018-08-07,Ebury Publishing,304
10 Minutes 38 Seconds in this Strange World,Elif Shafak,ePUB,15.99,15.99,9780241979457,2019-06-06,Penguin Books Ltd,368
Midnight at the Blackbird Cafe,Heather Webber,ePUB,19.5,15.99,9781250198600,2019-07-16,Tor Publishing Group,
The Scottish Clearances,T. M. Devine,ePUB,15.99,15.99,9780141985947,2018-10-04,Penguin Books Ltd,400
Ask and It Is Given,Esther Hicks,ePUB,18.34,14.99,9781401919276,2004-10-01,Hay House,314
Quick & Clever Watercolor Pencils,Charles Evans,PDF,30.9,30.9,9780715335543,2006-04-15,DAVID & CHARLES               ,128
Gypsy,Lesley Pearse,ePUB,15.99,15.99,9780141910338,2008-07-14,Penguin Books Ltd,544
No One Is Too Small to Make a Difference,Greta Thunberg,ePUB,14.99,14.99,9780141991757,2019-05-30,Penguin Books Ltd,80
The Polyvagal Theory in Therapy,Deb Dana,ePUB,51.34,41.99,9780393712384,2018-06-12,W. W. Norton & Company,
How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,ePUB,19.99,19.99,9780761148425,2008-07-02,Workman Publishing Company,203
Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,ePUB,0.0,0.0,9781310198373,2015-05-17,Talal Itani,
The Gutter Prayer,Gareth Hanrahan,ePUB,12.99,12.99,9780356511511,2019-01-15,"Little, Brown Book Group",544
Real Happiness,Sharon Salzberg,ePUB,16.5,14.95,9780761165590,2010-12-29,Workman Publishing Company,250
Astrology for the Soul,Jan Spiller,ePUB,25.7,20.99,9780307426758,2009-11-04,Random House Publishing Group,
The Hunger Games,Suzanne Collins,ePUB,14.02,11.99,9781407135281,2012-03-01,Scholastic,
The Closed Circle,Jonathan Coe,ePUB,15.99,15.99,9780141904160,2008-05-19,Penguin Books Ltd,448
Where Good Ideas Come From,Steven Johnson,ePUB,15.99,15.99,9780141964591,2010-10-07,Penguin Books Ltd,336
Claiming the Dragon King,Amelia Hutchins,ePUB,6.99,6.99,9780997720105,2018-07-10,Amelia Hutchins,
The Boy with the Topknot,Sathnam Sanghera,ePUB,15.99,15.99,9780670923090,2012-11-29,Penguin Books Ltd,336
The Art of War,Sun Tzu,ePUB,16.99,16.99,9780857081025,2016-05-16,Wiley,220
Lean In,Sheryl Sandberg,ePUB,18.99,18.99,9780753549063,2013-03-12,Ebury Publishing,240
The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,ePUB,9.99,9.99,9780141965550,2010-10-12,Penguin Random House Children's UK,576
The Other Side of the Story,Marian Keyes,ePUB,15.99,15.99,9780141909653,2005-03-10,Penguin Books Ltd,656
Titmuss Regained,John Mortimer,ePUB,15.99,15.99,9780141959856,2010-11-04,Penguin Books Ltd,272
Thor & Loki,Jeff Limke,E-Book,0.0,0.0,9781306291859,2006-01-01,Graphic Universe,52
Thin,Grace Bowman,ePUB,18.99,18.99,9780141905570,2007-01-25,Penguin Books Ltd,304
Another Woman,Penny Vincenzi,ePUB,12.99,12.99,9780755351473,2008-09-04,Headline,640
Shadow of Night,Deborah Harkness,ePUB,13.99,13.99,9780755384761,2012-07-10,Headline,605
Lover Mine,J. R. Ward,ePUB,11.99,11.99,9780748117468,2010-05-06,"Little, Brown Book Group",544
Uprooted,Naomi Novik,E-Book,0.0,0.0,9780804179041,2015-01-01,Random House Publishing Group,
Going Dutch,Katie Fforde,ePUB,15.99,15.99,9781407011349,2010-12-07,Random House,432
Xero For Dummies,Heather Smith,ePUB,25.99,25.99,9780730363996,2019-03-11,Wiley,472
1st to Die,James Patterson,ePUB,12.99,12.99,9780755387052,2011-06-23,Headline,375
Night Frost,R D Wingfield,ePUB,15.99,15.99,9781407068060,2010-04-27,Transworld,432
Notes to Self,Emilie Pine,ePUB,15.99,15.99,9780241986233,2019-01-31,Penguin Books Ltd,192
The French Slow Cooker,Michele Scicolone,ePUB,39.59,31.99,9780547607955,2024-04-16,HarperCollins,240
Dear Evan Hansen,Val Emmich,ePUB,12.99,12.99,9780241361863,2018-10-09,Penguin Random House Children's UK,368
A Dedicated Man,Peter Robinson,ePUB,12.35,8.95,9780330469289,2008-09-04,None,
A Short History of Europe,Simon Jenkins,ePUB,15.99,15.99,9780241352533,2018-11-08,Penguin Books Ltd,400
Hope,Lesley Pearse,ePUB,15.99,15.99,9780141900940,2007-01-11,Penguin Books Ltd,688
Arnhem,Antony Beevor,ePUB,14.99,14.99,9780141941295,2018-05-17,Penguin Books Ltd,496
Paradise Lodge,Nina Stibbe,ePUB,15.99,15.99,9780241974933,2016-06-02,Penguin Books Ltd,320
There Is No Planet B,Mike Berners-Lee,PDF,18.95,18.95,9781108337519,2019-02-28,Cambridge University Press,
Strumpet City,James Plunkett,ePUB,8.99,8.99,9780717155651,2013-02-22,Gill Books,560
Introducing Postmodernism,Richard Appignanesi,E-Book,0.0,0.0,9781281371973,2004-01-01,Icon Books Limited,191
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,ePUB,17.6,16.99,9780316448284,2018-04-24,Yen Press,
Mr Loverman,Bernardine Evaristo,ePUB,15.99,15.99,9780241963913,2013-08-29,Penguin Books Ltd,288
The Bridge at Remagen,Ken Hechler,ePUB,14.66,11.99,9780307514929,2009-03-25,Random House Publishing Group,
A Perfect Spy,John le Carré,ePUB,15.99,15.99,9780241322499,2018-09-27,Penguin Books Ltd,688
Blood Song,Anthony Ryan,ePUB,12.99,12.99,9781405525961,2013-04-11,"Little, Brown Book Group",592
The Eagle and the Wolves (Eagles of the Empire 4),Simon Scarrow,ePUB,12.99,12.99,9780755350858,2008-09-04,Headline,448
Excession,Iain M. Banks,ePUB,12.99,12.99,9780748110001,2008-09-04,"Little, Brown Book Group",464
The Secret Diary of Adrian Mole Aged 13 ¾,Sue Townsend,ePUB,9.99,9.99,9780141962900,2009-11-05,Penguin Random House Children's UK,272
Brothers York,Thomas Penn,ePUB,19.99,19.99,9780718197292,2019-10-03,Penguin Books Ltd,640
The Girl On Legare Street,Karen White,ePUB,10.27,9.99,9781101155646,2009-11-03,Penguin Publishing Group,
How I Made $2 Million in the Stock Market,Nicolas Darvas,ePUB,21.99,20.99,9780857191410,2020-03-27,Harriman House,198
The Summer Queen,Elizabeth Chadwick,ePUB,12.99,12.99,9780748133833,2013-06-20,"Little, Brown Book Group",496
Hellion,Karen Lynch,ePUB,6.87,6.87,9781370046782,2019-01-08,Karen Lynch,
You Can't Hide (The Chicago Series Book 4),Karen Rose,Paperback,29.95,29.95,9780755384839,2015-07-02,Headline Publishing Group,448
The Winner,David Baldacci,ePUB,11.5,8.5,9780330527989,2011-05-16,None,592
Our Man in Charleston,Christopher Dickey,ePUB,25.7,20.99,9780307887290,2015-07-21,Crown,
Postmortem,Patricia Cornwell,ePUB,12.99,12.99,9780748109500,2008-09-04,"Little, Brown Book Group",416
Hardwired,Meredith Wild,Paperback,22.17,21.75,9780989768412,2015-01-24,WATERHOUSE PR                 ,288
One Of Us Is Next,Karen M. McManus,ePUB,9.99,9.99,9780241376935,2020-01-09,Penguin Random House Children's UK,308
The Blind Assassin,Margaret Atwood,ePUB,11.99,11.99,9780748113347,2009-09-03,"Little, Brown Book Group",656
Solo,Jill Mansell,ePUB,11.99,11.99,9780755351879,2008-02-10,Headline,300
Alaska,James A. Michener,ePUB,27.42,21.99,9780804151429,2013-12-17,Random House Publishing Group,
The Hand That First Held Mine,Maggie O'Farrell,ePUB,11.99,11.99,9780755373277,2010-04-29,Headline,352
The Body Farm,Patricia Cornwell,ePUB,11.99,11.99,9780748109586,2008-09-04,"Little, Brown Book Group",400
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,ePUB,12.99,12.99,9780748121960,2012-03-29,"Little, Brown Book Group",400
The Firm,John Grisham,ePUB,15.99,15.99,9781407059044,2010-04-21,Random House,496
The Eagle In The Sand (Eagles of the Empire 7),Simon Scarrow,ePUB,12.99,12.99,9780755350803,2008-09-04,Headline,448
Raise the Titanic,Clive Cussler,ePUB,11.99,11.99,9780748114337,2009-09-17,"Little, Brown Book Group",320
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,ePUB,19.06,15.99,9781401920524,2007-07-31,Hay House,395
The Great Hunt,Robert Jordan,Paperback,22.99,22.4,9780356517018,2021-09-14,Little Brown,720
In Peace Lies Havoc (Midnight Mayhem: Book I),Amo Jones,ePUB,6.99,6.99,9781393487326,2019-11-05,?Amo Jones,
Last Chance Saloon,Marian Keyes,ePUB,15.99,15.99,9780141909820,2005-07-07,Penguin Books Ltd,608
The First Fifteen Lives of Harry August,Claire North,ePUB,11.99,11.99,9781405528252,2014-04-08,"Little, Brown Book Group",416
The Sword Of Shannara,Terry Brooks,ePUB,12.99,12.99,9781405515665,2012-02-23,"Little, Brown Book Group",672
The Dollhouse,Fiona Davis,ePUB,25.7,20.99,9781101985007,2016-08-23,Penguin Publishing Group,
The Leadership Challenge,James M. Kouzes,ePUB,41.79,41.79,9781119278979,2017-03-30,Wiley Professional Development (P&T),
A Pound Of Flesh,Alex Gray,ePUB,12.99,12.99,9780748117383,2012-03-01,"Little, Brown Book Group",352
Stardust,Neil Gaiman,Paperback,22.99,18.95,9780755322824,1999-05-01,Headline,214
The Boundless Sea,David Abulafia,ePUB,19.99,19.99,9780141972091,2019-10-03,Penguin Books Ltd,512
The Lady in the Lake and Other Novels,Raymond Chandler,ePUB,16.99,16.99,9780141190761,2001-06-07,Penguin Books Ltd,608
Blue Monday,Nicci French,ePUB,15.99,15.99,9780141970257,2011-06-23,Penguin Books Ltd,432
Body Swap,Katrina Kahler,ePUB,0.0,0.0,9781370005321,2017-03-28,Katrina Kahler,
Our Band Could Be Your Life,Michael Azerrad,ePUB,25.99,25.99,9780316247184,2012-12-01,"Little, Brown and Company",528
Masters of Rome,Robert Fabbri,ePUB,9.49,8.99,9780857899644,2014-08-07,Corvus,300
Any Human Heart,William Boyd,ePUB,15.99,15.99,9780141925325,2003-03-06,Penguin Books Ltd,512
Crime and Punishment,Fyodor Dostoevsky,ePUB,10.99,10.99,9780141956961,2014-02-27,Penguin Books Ltd,720
Apache Dawn,Damien Lewis,ePUB,12.99,12.99,9780748122769,2010-09-02,"Little, Brown Book Group",384
The Fire Islands,Gilbert M. Stack,ePUB,1.52,1.52,9781370085170,2017-12-01,Gilbert M. Stack,
Hunger,Michael Grant,ePUB,13.99,13.99,9780061911491,2009-05-26,HarperCollins,608
The Catcher in the Rye,J. D. Salinger,ePUB,15.99,15.99,9780241988794,2019-08-13,Penguin Books Ltd,240
Bloodline,Mark Billingham,ePUB,12.99,12.99,9780748111466,2009-08-06,"Little, Brown Book Group",352
The Rule of Law,Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham,ePUB,15.99,15.99,9780141962016,2011-07-07,Penguin Books Ltd,224
Last Bus to Woodstock,Colin Dexter,ePUB,12.35,8.95,9780330468565,2009-08-21,None,
A Moment of War,Laurie Lee,ePUB,15.99,15.99,9780141929552,2000-01-01,Penguin Books Ltd,192
March of the Lemmings,Stewart Lee,ePUB,18.69,15.99,9780571357048,2019-09-03,Faber & Faber,324
Path of the Assassin,Brad Thor,ePUB,9.99,9.99,9780743483308,2003-04-15,Atria Books,384
The Case of the Missing Boyfriend,Nick Alexander,ePUB,5.99,5.99,9780857896315,2011-08-01,Corvus,200
The Deceivers,Kristen Simmons,ePUB,14.95,11.99,9781250175816,2019-02-05,Tor Publishing Group,
The Collector,Nora Roberts,ePUB,11.99,11.99,9781405522779,2014-04-15,"Little, Brown Book Group",496
Profit First,Mike Michalowicz,ePUB,29.14,23.99,9780735214163,2017-01-18,Penguin Publishing Group,
If Beale Street Could Talk,James Baldwin,ePUB,15.99,15.99,9780141963792,2000-01-01,Penguin Books Ltd,240
Matter,Iain M. Banks,ePUB,12.99,12.99,9780748110049,2008-09-04,"Little, Brown Book Group",608
Caves of Steel,Isaac Asimov,ePUB,13.19,10.99,9780307792419,2011-04-13,Random House Publishing Group,
Everything is Figureoutable,Marie Forleo,ePUB,4.99,4.99,9780241341049,2019-09-12,Penguin Books Ltd,240
The Glass Woman,Caroline Lea,ePUB,15.99,15.99,9781405934633,2019-02-07,Penguin Books Ltd,464
The Elements of Style,William Strunk Jr.,ePUB,5.8,5.8,9780486113708,2012-03-07,Dover Publications,64
The Labyrinth Index,Charles Stross,ePUB,12.99,12.99,9780356511078,2018-10-30,"Little, Brown Book Group",368
The Tipping Point,Malcolm Gladwell,ePUB,16.99,16.99,9780759574731,2006-11-01,"Little, Brown and Company",288
Dying for a Cruise,Joyce Cato,E-Book,0.0,0.0,9781306020275,2012-01-01,Robert Hale & Company,225
Billy Connolly's Tracks Across America,Billy Connolly,ePUB,19.99,19.99,9780751564150,2016-03-31,"Little, Brown Book Group",288
Me Talk Pretty One Day,David Sedaris,ePUB,12.99,12.99,9780748123032,2010-08-05,"Little, Brown Book Group",288
The Red Tent,Anita Diamant,ePUB,12.35,8.95,9780330507073,2009-09-18,None,
The Bones Beneath,Mark Billingham,ePUB,11.99,11.99,9781405527583,2014-05-22,"Little, Brown Book Group",400
Brain Freeze,Tom Fletcher,ePUB,1.99,1.99,9780241334225,2018-02-22,Penguin Random House Children's UK,112
Mere Christianity,C. S. Lewis,ePUB,5.99,5.99,9780061947438,2009-06-02,HarperCollins,256
A Winter's Tale,Trisha Ashley,ePUB,9.99,9.99,9780007328918,2009-05-29,HarperCollins Publishers,416
A Mother's Courage,Dilly Court,ePUB,15.99,15.99,9781407004563,2008-09-04,Random House,544
The Hairy Bikers' 12 Days of Christmas,Hairy Bikers,ePUB,19.99,19.99,9780297864547,2010-12-02,Orion,224
Quite Ugly One Morning,Christopher Brookmyre,ePUB,11.99,11.99,9780748132034,2011-06-16,"Little, Brown Book Group",320
Immortal in Death,J.D. Robb,ePUB,11.99,11.99,9780748121779,2010-10-07,"Little, Brown Book Group",352
The Tea Planter's Wife,Dinah Jefferies,ePUB,15.99,15.99,9780241969564,2015-09-03,Penguin Books Ltd,386
One Cretan Evening and Other Stories,Victoria Hislop,ePUB,3.99,3.99,9780755389506,2011-09-15,Headline,72
The Legion (Eagles of the Empire 10),Simon Scarrow,ePUB,12.99,12.99,9780755357208,2010-11-11,Headline,448
The Lost Sisters,Holly Black,ePUB,3.99,3.99,9780316310444,2018-10-02,"Little, Brown Books for Young Readers",100
Ayoade on Top,Richard Ayoade,ePUB,14.29,12.99,9780571339150,2019-09-03,Faber & Faber,256
Rivers of London,Ben Aaronovitch,ePUB,11.99,11.99,9780575097599,2011-01-10,Orion,384
Village Christmas,Laurie Lee,ePUB,14.99,14.99,9780241243688,2015-11-05,Penguin Books Ltd,200
